# Wordlist

# META
@vowels:T V _
@json: {"params": {"cscorer": {"ratio": [2, 1], "vscale": 1.0, "runs": 1000, "scoring_threshold": 0.7, "preprocessing_threshold": 0.7, "modestring": "global-2-0.50:local-1-0.50", "factor": 0.3, "restricted_chars": "_T", "method": "shuffle", "preprocessing": "False:upgma:-2", "unattested": -5, "unexpected": 1e-05, "smooth": 1}, "cluster": "lexstat_upgma_0.50"}}

# DATA
ID	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	LEXSTATID
148	lizard	ϩⲁⲛⲧⲟⲩⲥ	hantous	COPTIC	39	h a n t ou s	3 7 4 1 7 3	AXMBYN	HANTUS	1	1.H.C 1.A.V 1.N.c 1.T.C 1.U.V 1.S.c	2.0 1.5 1.1 1.75 1.3 0.8	0	104
#
21	mat made of palm leaves	برش	bursh	EGYPTIAN ARABIC	21	b u r s h	1 7 5 3 3	AXLLN	PYRSH	2	2.P.C 2.Y.V 2.R.c 2.S.c 2.H.c	2.0 1.5 1.1 1.1 0.8	0	105
#
37	matter, affair	هنيه	hnayye	EGYPTIAN ARABIC	37	h n ayye	3 4 7	ACX	HNA	2	2.H.C 2.N.C 2.A.V	2.0 1.5 1.5	0	106
#
215	measure of grain, less than an 'ardab	ⲟⲓⲡⲉ	oipe	COPTIC	106	oi p e	7 1 7	XBZ	UPE	1	1.U.V 1.P.C 1.E.V	1.5 1.75 0.8	0	107
#
102	mill sound	أونى	ūni	EGYPTIAN ARABIC	102	ū n i	7 4 7	XBZ	YNI	2	2.Y.V 2.N.C 2.I.V	1.5 1.75 0.8	0	108
211	mill sound	ⲉⲩⲛⲓ	euni	COPTIC	102	eu n i	7 4 7	XBZ	ENI	1	1.E.V 1.N.C 1.I.V	1.5 1.75 0.8	0	108
#
49	misfortune or pain	كاس	kās	EGYPTIAN ARABIC	49	k ā s	1 7 3	AXN	KAS	2	2.K.C 2.A.V 2.S.c	2.0 1.5 0.8	0	109
#
72	oakum	ساس	sās	EGYPTIAN ARABIC	72	s ā s	3 7 3	AXN	SAS	2	2.S.C 2.A.V 2.S.c	2.0 1.5 0.8	0	110
#
103	oasis	واحه	wāha	EGYPTIAN ARABIC	103	w ā h a	6 7 3 7	AXBZ	WAHA	2	2.W.C 2.A.V 2.H.C 2.A.V	2.0 1.5 1.75 0.8	0	112
212	oasis	ⲟⲩⲁϩⲉ	ouahe	COPTIC	103	oua h e	7 3 7	XBZ	UHE	1	1.U.V 1.H.C 1.E.V	1.5 1.75 0.8	0	111
#
46	outer garment	كاكوله	kālkūla	EGYPTIAN ARABIC	46	k ā l k ū l a	1 7 5 1 7 5 7	AXMBYBZ	KALKYLA	2	2.K.C 2.A.V 2.L.c 2.K.C 2.Y.V 2.L.C 2.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	113
#
18	part of a plough	بسخه	biskha	EGYPTIAN ARABIC	18	b i s k h a	1 7 3 1 3 7	AXMBCZ	PISKHA	2	2.P.C 2.I.V 2.S.c 2.K.C 2.H.C 2.A.V	2.0 1.5 1.1 1.75 1.5 0.8	0	114
#
112	pebble	ⲁⲗ	al	COPTIC	3	a l	7 5	XN	AL	1	1.A.V 1.L.c	1.5 0.8	0	115
#
117	pitcher or jar	ⲡⲉⲕⲉⲗⲱⲗ	pekelōl	COPTIC	8	p e k e l ō l	1 7 1 7 5 7 5	AXBYBYN	PEKELUL	1	1.P.C 1.E.V 1.K.C 1.E.V 1.L.C 1.U.V 1.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	116
#
127	plough handle	ⲡⲓⲥϧⲟ	pisHo	COPTIC	18	p i s H o	1 7 3 0 7	AXMBZ	PIS0U	1	1.P.C 1.I.V 1.S.c 1.0.C 1.U.V	2.0 1.5 1.1 1.75 0.8	0	117
#
90	plough or plowshare	سكه	sikka	EGYPTIAN ARABIC	90	s i kk a	3 7 1 7	AXBZ	SIKA	2	2.S.C 2.I.V 2.K.C 2.A.V	2.0 1.5 1.75 0.8	0	118
#
22	porridge	بوش	būsh	EGYPTIAN ARABIC	22	b ū s h	1 7 3 3	AXLN	PYSH	2	2.P.C 2.Y.V 2.S.c 2.H.c	2.0 1.5 1.1 0.8	0	119
#
114	porter, doorkeeper	ⲙⲛⲟⲩⲧ	mnout	COPTIC	5	m n ou t	4 4 7 1	ACYN	MNUT	1	1.M.C 1.N.C 1.U.V 1.T.c	2.0 1.5 1.3 0.8	0	120
#
205	pray	ⲧⲱⲃϩ	tōbh	COPTIC	96	t ō b h	1 7 1 3	AXBC	TUPH	1	1.T.C 1.U.V 1.P.C 1.H.C	2.0 1.5 1.75 1.5	0	121
#
96	prayer	طبحه	tabha	EGYPTIAN ARABIC	96	t a b h a	1 7 1 3 7	AXBCZ	TAPHA	2	2.T.C 2.A.V 2.P.C 2.H.C 2.A.V	2.0 1.5 1.75 1.5 0.8	0	122
#
128	reception, entertainment	ⲡϣⲟⲡⲥ	pshops	COPTIC	19	p s h o p s	1 3 3 7 1 3	ACBXBC	PSHUPS	1	1.P.C 1.S.C 1.H.C 1.U.V 1.P.C 1.S.C	2.0 1.5 1.75 1.5 1.75 1.5	0	123
#
193	robe of linen	ϣⲉⲛⲧⲱ	shentō	COPTIC	84	s h e n t ō	3 3 7 4 1 7	ACYMBZ	SHENTU	1	1.S.C 1.H.C 1.E.V 1.N.c 1.T.C 1.U.V	2.0 1.5 1.3 1.1 1.75 0.8	0	124
#
83	sack for straw	شنف	shinf	EGYPTIAN ARABIC	83	s h i n f	3 3 7 4 3	ACYLN	SHINB	2	2.S.C 2.H.C 2.I.V 2.N.c 2.B.c	2.0 1.5 1.3 1.1 0.8	0	125
#
152	safety, health	ⲟⲩⲇⲁⲓ	oudai	COPTIC	43	ou d ai	7 1 7	XBZ	UTA	1	1.U.V 1.T.C 1.A.V	1.5 1.75 0.8	0	126
#
91	salty	صير	sīr	EGYPTIAN ARABIC	91	s ī r	3 7 5	AXN	SIR	2	2.S.C 2.I.V 2.R.c	2.0 1.5 0.8	0	127
#
214	saw	ⲃⲁϣⲟⲩⲣ	bashour	COPTIC	105	b a s h ou r	1 7 3 3 7 5	AXMBYN	PASHUR	1	1.P.C 1.A.V 1.S.c 1.H.C 1.U.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	128
#
5	sexton	أمنوت	amnūt	EGYPTIAN ARABIC	5	a m n ū t	7 4 4 7 1	XMBYN	AMNYT	2	2.A.V 2.M.c 2.N.C 2.Y.V 2.T.c	1.5 1.1 1.75 1.3 0.8	0	129
#
53	ship's cable	لبان	libān	EGYPTIAN ARABIC	53	l i b ā n	5 7 1 7 4	AXBYN	LIPAN	2	2.L.C 2.I.V 2.P.C 2.A.V 2.N.c	2.0 1.5 1.75 1.3 0.8	0	130
162	ship's cable	ⲗⲉⲃⲁⲛ	leban	COPTIC	53	l e b a n	5 7 1 7 4	AXBYN	LEPAN	1	1.L.C 1.E.V 1.P.C 1.A.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	130
#
198	single lock or plait of hair	ⲇⲓⲇⲱⲓ	didōi	COPTIC	89	d i d ō i	1 7 1 7 7	AXBYZ	TITUI	1	1.T.C 1.I.V 1.T.C 1.U.V 1.I.V	2.0 1.5 1.75 1.3 0.8	0	131
#
16	site of a ruined temple	بربه	birba	EGYPTIAN ARABIC	16	b i r b a	1 7 5 1 7	AXMBZ	PIRPA	2	2.P.C 2.I.V 2.R.c 2.P.C 2.A.V	2.0 1.5 1.1 1.75 0.8	0	132
#
10	small basket	بقوطى	bagūti	EGYPTIAN ARABIC	10	b a g ū t i	1 7 1 7 1 7	AXBYBZ	PAKYTI	2	2.P.C 2.A.V 2.K.C 2.Y.V 2.T.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	134
119	small basket	ⲡⲕⲟⲧ	pkot	COPTIC	10	p k o t	1 1 7 1	ACYN	PKUT	1	1.P.C 1.K.C 1.U.V 1.T.c	2.0 1.5 1.3 0.8	0	133
#
68	small fish	رمروم	ramrūm	EGYPTIAN ARABIC	68	r a m r ū m	5 7 4 5 7 4	AXBCYN	RAMRYM	2	2.R.C 2.A.V 2.M.C 2.R.C 2.Y.V 2.M.c	2.0 1.5 1.75 1.5 1.3 0.8	0	135
#
88	small window	شوشه	shūsha	EGYPTIAN ARABIC	88	s h ū s h a	3 3 7 3 3 7	ACYMBZ	SHYSHA	2	2.S.C 2.H.C 2.Y.V 2.S.c 2.H.C 2.A.V	2.0 1.5 1.3 1.1 1.75 0.8	0	136
#
159	soil, earth	ⲕⲁϩ	kah	COPTIC	50	k a h	1 7 3	AXN	KAH	1	1.K.C 1.A.V 1.H.c	2.0 1.5 0.8	0	137
#
146	some(thing)	ϩⲟⲓⲛⲉ	hoine	COPTIC	37	h oi n e	3 7 4 7	AXBZ	HUNE	1	1.H.C 1.U.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	0	138
#
56	southerly	مريسى	marīsī	EGYPTIAN ARABIC	56	m a r ī s ī	4 7 5 7 3 7	AXBYBZ	MARISI	2	2.M.C 2.A.V 2.R.C 2.I.V 2.S.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	139
#
165	southern country	ⲙⲁⲣⲏⲥ	marēs	COPTIC	56	m a r ē s	4 7 5 7 3	AXBYN	MARES	1	1.M.C 1.A.V 1.R.C 1.E.V 1.S.c	2.0 1.5 1.75 1.3 0.8	0	140
#
210	spade or pick	ⲧⲱⲣⲓ	tōri	COPTIC	101	t ō r i	1 7 5 7	AXBZ	TURI	1	1.T.C 1.U.V 1.R.C 1.I.V	2.0 1.5 1.75 0.8	0	141
#
71	special bread made of fine flour	سميط	samīt	EGYPTIAN ARABIC	71	s a m ī t	3 7 4 7 1	AXBYN	SAMIT	2	2.S.C 2.A.V 2.M.C 2.I.V 2.T.c	2.0 1.5 1.75 1.3 0.8	0	142
#
141	spider's web	ϩⲁⲗⲟⲩⲥ	halous	COPTIC	32	h a l ou s	3 7 5 7 3	AXBYN	HALUS	1	1.H.C 1.A.V 1.L.C 1.U.V 1.S.c	2.0 1.5 1.75 1.3 0.8	0	143
#
175	stinking of disease	ⲛⲟⲟϣⲉ	nooshe	COPTIC	66	n oo s h e	4 7 3 3 7	AXMBZ	NUSHE	1	1.N.C 1.U.V 1.S.c 1.H.C 1.E.V	2.0 1.5 1.1 1.75 0.8	0	144
#
86	store house for grains	شونه	shūna	EGYPTIAN ARABIC	86	s h ū n a	3 3 7 4 7	ACYBZ	SHYNA	2	2.S.C 2.H.C 2.Y.V 2.N.C 2.A.V	2.0 1.5 1.3 1.75 0.8	0	145
195	store house for grains	ⲱⲉⲩⲛⲉ	sheune	COPTIC	86	s h eu n e	3 3 7 4 7	ACYBZ	SHENE	1	1.S.C 1.H.C 1.E.V 1.N.C 1.E.V	2.0 1.5 1.3 1.75 0.8	0	145
#
188	strike, thresh	ⲟⲩⲟϣⲟⲩⲉϣ	ouoshouesh	COPTIC	79	ouo s h oue s h	7 3 3 7 3 3	XMBYLN	USHUSH	1	1.U.V 1.S.c 1.H.C 1.U.V 1.S.c 1.H.c	1.5 1.1 1.75 1.3 1.1 0.8	0	146
#
172	strong sun	ⲛⲁⲕⲣⲏ	nakrē	COPTIC	63	n a k r ē	4 7 1 5 7	AXBCZ	NAKRE	1	1.N.C 1.A.V 1.K.C 1.R.C 1.E.V	2.0 1.5 1.75 1.5 0.8	0	147
#
183	the change of the sun	ϣⲃⲣⲏ	shbre	COPTIC	74	s h b r e	3 3 1 5 7	AMBCZ	SHPRE	1	1.S.C 1.H.c 1.P.C 1.R.C 1.E.V	2.0 1.1 1.75 1.5 0.8	0	148
#
48	the corn cob after it is beaten to gather the kernels	كلوح	kalūh	EGYPTIAN ARABIC	48	k a l ū h	1 7 5 7 3	AXBYN	KALYH	2	2.K.C 2.A.V 2.L.C 2.Y.V 2.H.c	2.0 1.5 1.75 1.3 0.8	0	149
#
203	the crocodile	ⲧⲉⲙⲥⲁϩ	temsah	COPTIC	94	t e m s a h	1 7 4 3 7 3	AXMBYN	TEMSAH	1	1.T.C 1.E.V 1.M.c 1.S.C 1.A.V 1.H.c	2.0 1.5 1.1 1.75 1.3 0.8	0	150
#
124	the demon	ⲡⲓϧ	bih	COPTIC	15	b i h	1 7 3	AXN	PIH	1	1.P.C 1.I.V 1.H.c	2.0 1.5 0.8	0	151
#
77	the fennel plant	شمر	shamar	EGYPTIAN ARABIC	77	s h a m a r	3 3 7 4 7 5	ACYBYN	SHAMAR	2	2.S.C 2.H.C 2.A.V 2.M.C 2.A.V 2.R.c	2.0 1.5 1.3 1.75 1.3 0.8	0	152
#
118	the frog	ⲡⲉⲕⲣⲟⲩⲣ	pekrour	COPTIC	9	p e k r ou r	1 7 1 5 7 5	AXBCYN	PEKRUR	1	1.P.C 1.E.V 1.K.C 1.R.C 1.U.V 1.R.c	2.0 1.5 1.75 1.5 1.3 0.8	0	153
#
121	the heron	ⲡⲉⲗϭⲱⲃ	pelsHōm	COPTIC	12	p e l s H ō m	1 7 5 3 0 7 4	AXLMBYN	PELS0UM	1	1.P.C 1.E.V 1.L.c 1.S.c 1.0.C 1.U.V 1.M.c	2.0 1.5 1.1 1.1 1.75 1.3 0.8	0	154
#
145	the ibis bird	ϩⲓⲃⲱⲓ	hibōi	COPTIC	36	h i b ō i	3 7 1 7 7	AXBYZ	HIPUI	1	1.H.C 1.I.V 1.P.C 1.U.V 1.I.V	2.0 1.5 1.75 1.3 0.8	0	155
#
140	the one who talks	ϩⲁϫⲟⲟⲥ	hadoos	COPTIC	31	h a d oo s	3 7 1 7 3	AXBYN	HATUS	1	1.H.C 1.A.V 1.T.C 1.U.V 1.S.c	2.0 1.5 1.75 1.3 0.8	0	156
#
7	the portion of the field left for cultivating clover or beans	باق	bāg	EGYPTIAN ARABIC	7	b ā g	1 7 1	AXN	PAK	2	2.P.C 2.A.V 2.K.c	2.0 1.5 0.8	0	157
#
73	the second round of the Egyptian peasants' ball game	سنو	sennō	EGYPTIAN ARABIC	73	s e nn ō	3 7 4 7	AXBZ	SENU	2	2.S.C 2.E.V 2.N.C 2.U.V	2.0 1.5 1.75 0.8	0	158
#
125	the temple	ⲡⲣ︦ⲡⲉ	prpe	COPTIC	16	p r p e	1 5 1 7	AXBZ	PRPE	1	1.P.C 1.R.V 1.P.C 1.E.V	2.0 1.5 1.75 0.8	0	159
#
123	the thing which is red	ⲡⲉⲧ-ⲫⲣⲉϣⲣⲱϣ	pet-phreshrōsh	COPTIC	14	p e t p h r e s h r ō s h	1 7 1 1 3 5 7 3 3 5 7 3 3	AXMBCCYMBCYLN	PETPHRESHRUSH	1	1.P.C 1.E.V 1.T.c 1.P.C 1.H.C 1.R.C 1.E.V 1.S.c 1.H.C 1.R.C 1.U.V 1.S.c 1.H.c	2.0 1.5 1.1 1.75 1.5 1.5 1.3 1.1 1.75 1.5 1.3 1.1 0.8	0	160
#
61	the winter crop of maize	نبارى	nabāri	EGYPTIAN ARABIC	61	n a b ā r i	4 7 1 7 5 7	AXBYBZ	NAPARI	2	2.N.C 2.A.V 2.P.C 2.A.V 2.R.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	161
#
168	there	ⲙⲛⲏ	mnē	COPTIC	59	m n ē	4 4 7	ACZ	MNE	1	1.M.C 1.N.C 1.E.V	2.0 1.5 0.8	0	162
#
134	thigh, hip	ⲃⲓⲗⲧⲓ	bilti	COPTIC	25	b i l t i	1 7 5 1 7	AXMBZ	PILTI	1	1.P.C 1.I.V 1.L.c 1.T.C 1.I.V	2.0 1.5 1.1 1.75 0.8	0	163
#
59	thither	مناو	mnāw	EGYPTIAN ARABIC	59	m n ā w	4 4 7 6	ACYN	MNAW	2	2.M.C 2.N.C 2.A.V 2.W.c	2.0 1.5 1.3 0.8	0	164
#
23	time of inundation	دميره	damīra	EGYPTIAN ARABIC	23	d a m ī r a	1 7 4 7 5 7	AXBYBZ	TAMIRA	2	2.T.C 2.A.V 2.M.C 2.I.V 2.R.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	165
#
6	title for Coptic priests	أنبا	anba	EGYPTIAN ARABIC	6	a n b a	7 4 1 7	XMBZ	ANPA	2	2.A.V 2.N.c 2.P.C 2.A.V	1.5 1.1 1.75 0.8	0	167
115	title for Coptic priests	ⲁⲃⲃⲁ	abba	COPTIC	6	a bb a	7 1 7	XBZ	APA	1	1.A.V 1.P.C 1.A.V	1.5 1.75 0.8	0	166
#
144	to abuse or insult	ϩⲟⲟⲩϣ	hooush	COPTIC	35	h oou s h	3 7 3 3	AXLN	HUSH	1	1.H.C 1.U.V 1.S.c 1.H.c	2.0 1.5 1.1 0.8	0	168
#
156	to be bent	ⲕⲱⲗⲇ	kōld	COPTIC	47	k ō l d	1 7 5 1	AXLN	KULT	1	1.K.C 1.U.V 1.L.c 1.T.c	2.0 1.5 1.1 0.8	0	169
#
52	to be persistent	لج	lajj	EGYPTIAN ARABIC	52	l a jj	5 7 6	AXN	LAJ	2	2.L.C 2.A.V 2.J.c	2.0 1.5 0.8	0	170
#
93	to become drunk	تخ	takhkh	EGYPTIAN ARABIC	93	t a k h k h	1 7 1 3 1 3	AXBYBC	TAKHKH	2	2.T.C 2.A.V 2.K.C 2.H.V 2.K.C 2.H.C	2.0 1.5 1.75 1.3 1.75 1.5	0	171
#
11	to bluff	بلهم	balham	EGYPTIAN ARABIC	11	b a l h a m	1 7 5 3 7 4	AXMBYN	PALHAM	2	2.P.C 2.A.V 2.L.c 2.H.C 2.A.V 2.M.c	2.0 1.5 1.1 1.75 1.3 0.8	0	172
#
35	to bluff, mostly by talking roughly	هوش	hawwash	EGYPTIAN ARABIC	35	h a ww a s h	3 7 6 7 3 3	AXBYLN	HAWASH	2	2.H.C 2.A.V 2.W.C 2.A.V 2.S.c 2.H.c	2.0 1.5 1.75 1.3 1.1 0.8	0	173
#
126	to cook beans	ⲡⲉⲥⲁⲣⲱ	pesarō	COPTIC	17	p e s a r ō	1 7 3 7 5 7	AXBYBZ	PESARU	1	1.P.C 1.E.V 1.S.C 1.A.V 1.R.C 1.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	174
#
104	to cry with pain, to bark	وحوح	wahwah	EGYPTIAN ARABIC	104	w a h w a h	6 7 3 6 7 3	AXBCYN	WAHWAH	2	2.W.C 2.A.V 2.H.C 2.W.C 2.A.V 2.H.c	2.0 1.5 1.75 1.5 1.3 0.8	0	175
#
135	to fall, rush down	ϥⲟⲣϥⲉⲣ	forfer	COPTIC	26	f o r f e r	3 7 5 3 7 5	AXMBYN	BURBER	1	1.B.C 1.U.V 1.R.c 1.B.C 1.E.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	176
#
26	to flap the wings, especially when the bird is falling down	فرفر	farfar	EGYPTIAN ARABIC	26	f a r f a r	3 7 5 3 7 5	AXMBYN	BARBAR	2	2.B.C 2.A.V 2.R.c 2.B.C 2.A.V 2.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	177
#
136	to flee	ⲡⲱⲧ	pōt	COPTIC	27	p ō t	1 7 1	AXN	PUT	1	1.P.C 1.U.V 1.T.c	2.0 1.5 0.8	0	178
#
150	to give	ϯ	ti	COPTIC	41	t i	1 7	AX	TI	1	1.T.C 1.I.V	2.0 1.5	0	179
#
208	to invite	ⲧⲱϩⲉⲙ	tōhem	COPTIC	99	t ō h e m	1 7 3 7 4	AXBYN	TUHEM	1	1.T.C 1.U.V 1.H.C 1.E.V 1.M.c	2.0 1.5 1.75 1.3 0.8	0	180
#
27	to jump or run	فط	fatt	EGYPTIAN ARABIC	27	f a tt	3 7 1	AXN	BAT	2	2.B.C 2.A.V 2.T.c	2.0 1.5 0.8	0	181
#
47	to limp	كلج	kalaj	EGYPTIAN ARABIC	47	k a l a j	1 7 5 7 6	AXBYN	KALAJ	2	2.K.C 2.A.V 2.L.C 2.A.V 2.J.c	2.0 1.5 1.75 1.3 0.8	0	182
#
199	to plough or ploughing	ⲥⲕⲁⲓ	ckai	COPTIC	90	c k ai	1 1 7	ACZ	CKA	1	1.C.C 1.K.C 1.A.V	2.0 1.5 0.8	0	183
#
78	to rise	شاشا	shāshā	EGYPTIAN ARABIC	78	s h ā s h ā	3 3 7 3 3 7	ACYMBZ	SHASHA	2	2.S.C 2.H.C 2.A.V 2.S.c 2.H.C 2.A.V	2.0 1.5 1.3 1.1 1.75 0.8	0	184
187	to rise	ϣⲁ	sha	COPTIC	78	s h a	3 3 7	ACZ	SHA	1	1.S.C 1.H.C 1.A.V	2.0 1.5 0.8	0	184
#
33	to sit	همس	hammas	EGYPTIAN ARABIC	33	h a mm a s	3 7 4 7 3	AXBYN	HAMAS	2	2.H.C 2.A.V 2.M.C 2.A.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	185
#
142	to sit, dwell, remain	ϩⲙⲟⲟⲥ	hmoos	COPTIC	33	h m oo s	3 4 7 3	ACXN	HMUS	1	1.H.C 1.M.C 1.U.V 1.S.c	2.0 1.5 1.5 0.8	0	186
#
92	to spit	تف	taff	EGYPTIAN ARABIC	92	t a ff	1 7 3	AXN	TAB	2	2.T.C 2.A.V 2.B.c	2.0 1.5 0.8	0	188
201	to spit	ⲧⲁϥ	taf	COPTIC	92	t a f	1 7 3	AXN	TAB	1	1.T.C 1.A.V 1.B.c	2.0 1.5 0.8	0	187
#
130	to spread or something which is spread	ⲡⲱⲣϣ	pōrsh	COPTIC	21	p ō r s h	1 7 5 3 3	AXLLN	PURSH	1	1.P.C 1.U.V 1.R.c 1.S.c 1.H.c	2.0 1.5 1.1 1.1 0.8	0	189
#
157	to strike	ⲕⲱⲗϩ	kōlh	COPTIC	48	k ō l h	1 7 5 3	AXLN	KULH	1	1.K.C 1.U.V 1.L.c 1.H.c	2.0 1.5 1.1 0.8	0	190
#
137	to wipe	ϥⲱⲧⲉ	fōte	COPTIC	28	f ō t e	3 7 1 7	AXBZ	BUTE	1	1.B.C 1.U.V 1.T.C 1.E.V	2.0 1.5 1.75 0.8	0	191
#
28	towel	فوطه	fūta	EGYPTIAN ARABIC	28	f ū t a	3 7 1 7	AXBZ	BYTA	2	2.B.C 2.Y.V 2.T.C 2.A.V	2.0 1.5 1.75 0.8	0	193
181	towel	ⲥⲁⲁⲥⲉ	saase	COPTIC	72	s aa s e	3 7 3 7	AXBZ	SASE	1	1.S.C 1.A.V 1.S.C 1.E.V	2.0 1.5 1.75 0.8	0	192
#
89	tuft of hair, crest	شوشه	shūsha	EGYPTIAN ARABIC	89	s h ū s h a	3 3 7 3 3 7	ACYMBZ	SHYSHA	2	2.S.C 2.H.C 2.Y.V 2.S.c 2.H.C 2.A.V	2.0 1.5 1.3 1.1 1.75 0.8	1	194
#
182	two	ⲥⲛⲁⲩ	snau	COPTIC	73	s n au	3 4 7	ACX	SNA	1	1.S.C 1.N.C 1.A.V	2.0 1.5 1.5	0	195
#
57	water to drink	مبو	mbū	EGYPTIAN ARABIC	57	m b ū	4 1 7	ACZ	MPY	2	2.M.C 2.P.C 2.Y.V	2.0 1.5 0.8	0	197
166	water to drink	ⲡⲙⲟⲟⲩ	mbū	COPTIC	57	m b ū	4 1 7	ACZ	MPY	1	1.M.C 1.P.C 1.Y.V	2.0 1.5 0.8	0	196
#
207	wind of the east	ⲧⲟⲩⲉⲓⲉⲃⲧ	toueiebt	COPTIC	98	t oueie b t	1 7 1 1	AXLN	TUPT	1	1.T.C 1.U.V 1.P.c 1.T.c	2.0 1.5 1.1 0.8	0	198
#
197	window	ϣⲟⲩϣⲧ	shousht	COPTIC	88	s h ou s h t	3 3 7 3 3 1	ACYLLN	SHUSHT	1	1.S.C 1.H.C 1.U.V 1.S.c 1.H.c 1.T.c	2.0 1.5 1.3 1.1 1.1 0.8	0	199
#
80	wonder	شبار	shbar	EGYPTIAN ARABIC	80	s h b a r	3 3 1 7 5	AMBYN	SHPAR	2	2.S.C 2.H.c 2.P.C 2.A.V 2.R.c	2.0 1.1 1.75 1.3 0.8	0	200
189	wonder	ϣⲡⲉⲣⲉ	shpere	COPTIC	80	s h p e r e	3 3 1 7 5 7	AMBYBZ	SHPERE	1	1.S.C 1.H.c 1.P.C 1.E.V 1.R.C 1.E.V	2.0 1.1 1.75 1.3 1.75 0.8	0	200
#
105	wood saw	وارشور	wãrshūr	EGYPTIAN ARABIC	105	w ã r s h ū r	6 7 5 3 3 7 5	AXLMBYN	WARSHYR	2	2.W.C 2.A.V 2.R.c 2.S.c 2.H.C 2.Y.V 2.R.c	2.0 1.5 1.1 1.1 1.75 1.3 0.8	0	201
#
110	yea	ⲁϩⲁ	aha	COPTIC	1	a h a	7 3 7	XBZ	AHA	1	1.A.V 1.H.C 1.A.V	1.5 1.75 0.8	0	202
#
1	yes	آ	ā	EGYPTIAN ARABIC	1	ā	7	X	A	2	2.A.V	1.5	0	203
#
62	yoke	ناف	nāf	EGYPTIAN ARABIC	62	n ā f	4 7 3	AXN	NAB	2	2.N.C 2.A.V 2.B.c	2.0 1.5 0.8	0	205
171	yoke	ⲛⲁϩⲃ	nahb	COPTIC	62	n a h b	4 7 3 1	AXLN	NAHP	1	1.N.C 1.A.V 1.H.c 1.P.c	2.0 1.5 1.1 0.8	0	204
#
216	young or fresh	ⲃⲣⲣⲉ	brre	COPTIC	107	b rr e	1 5 7	ACX	PRE	1	1.P.C 1.R.C 1.E.V	2.0 1.5 1.5	0	206
# Created using the LexStat class of LingPy-2.6.13
# Parameters: 2:1_1.00_1000_0.70_global-2-0.50:local-1-0.50_0.30__T_shuffle_False:upgma:-2_0.7_0.00_-5.00
# Cluster: lexstat_upgma_0.50
